Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification,DO_ID,extraction_date,batch_letter,notes_extraction,DNA_ng_per_uL,twenty_uL_DNA_dilution_2_ng_per_uL,DNA_PCR_water,RNA_ng_per_uL,twenty_uL_RNA_dilution_2_ng_per_uL,RNA_PCR_water,cDNA_conc_ng_per_uL,uL_cDNA_input,cDNA_final_input_ng_per_uL,Tree,sample_depth_cm,core_top_depth_cm,core_bottom_depth_cm,Sample_Notes,Sample_Date_yr.mo.dy,Avenza_Name,Site_Notes,Sampler_LB,Sampler_GB,Sampler_RM,Sampler_DG,Tree_Burn_Status,Tree_Health,latitude,longitude,Trees_within_10m,Trees_within_10m_count,Closest_Tree_Identity,Closest_Tree_Health,Closest_Tree_Distance_m,Closest_Tree_Location_degrees,Second_Closest_Tree_Identity,Second_Closest_Tree_Health,Second_Closest_Tree_Distance_m,Second_Closest_Tree_Location_degrees,Sampler_EW,Sampler_BL,Sampler_DL,PerCMoisture,FM_AD_correction,FM_OD_correction,AD_OD_correction,bulk_density_g_cm3,bulk_density_notes,Hue,Value_dry,Value_wet,Chroma_dry,Chroma_wet,clay_percent,silt_percent,sand_percent,TextureClass,pH_FM_CaCl2,Total_Exchange_Capacity_meq_per_100_g,pH_AD_H20,organic_matter_percent,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3.N_ppm,NH4.N_ppm,Bray_I_P_ppm,carbon_percent,nitrogen_percent,C_per_N_Ratio,DNA_qubit_ng_g_soil,RNA_qubit_ng_g_soil,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_Percent_of_Total_Biomass,DO_Name,ectomycorrhizal
D11-R,PCR_F_bc008,PCR_R_bc004,RNA,PCR_16S,DO_T03_22.5-30,9/19/2023,C,NA,NA,NA,NA,28.2,1.418439716,NA,0.966,1,0.966,T03,22.5-30,22.5,30,yes roots,230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,13.643982567884672,0.9095378564405112,0.8799410029498526,0.9674594594594595,1.0834541003906046,yes roots,10YR,5,4,4,3,22.56,43.09,34.35,Lo,6.47,21.43,6.7,3.61,5,12,2858,503,349,18,66.68,19.56,4.18,0.37,4.7,4.5,0.43,86,77,4.84,2.7,582,0,0,3,1.74,0.14,12.43,1616.941752118743,1221.379407220115,2187.26,813.67,37.2,335.14,15.32,183.15,8.37,478.52,21.88,219.42,40.49,8.18,178.92,1.3,28.5,50.96,1114.67,0.27,0.04,0.7,2.44,4.13,1.8511745288625951,DO_T03_22.5-30_RNA,177.5772
D31-R,PCR_F_bc009,PCR_R_bc004,RNA,PCR_16S,DO_T04_30-37.5,9/19/2023,D,"Don't Dilute, just use. DNA last of batcj",NA,NA,NA,0.608,65.78947368,NA,0.162,7,1.134,T04,30-37.5,30,37.5,"Could not hammer fully flush w/ surface. Either subtract 1cm from height (6.5cm) or don't use for bulk density. Also hat to shift, composition bulk density is suspect.",230522,Tree 04,"center of core distance from trunk is 47cm. Live and burned, west side of tree",TRUE,FALSE,FALSE,FALSE,unburned,living,38.488092,-122.150914,yes,1,Manzanita,living,6.8,0,NA,NA,NA,0,TRUE,FALSE,FALSE,10.83912228470614,0.9385196975726224,0.902208515718265,0.9613101547593812,NA,NA,10YR,6,5,6,6,37.08,34.91,28.01,ClLo,4.32,36.07,5.3,2.52,6,4,2096,1150,142,47,29.05,26.57,1.01,0.57,6.8,36,0.25,125,33,5.49,1.07,1062,0,1.7,2,0.62,0.06,10.33,308.22962699227185,30.03263032232392,1782.17,442.13,24.81,191.38,10.74,99.08,5.56,250.74,14.07,121.26,14.07,6.01,107.19,0,0,68.39,1218.78,0.27,0,0.76,2.54,2.44,0.7894869737454899,DO_T04_30-37.5_RNA,NA
D12-R,PCR_F_bc010,PCR_R_bc004,RNA,PCR_16S,DO_T05_7.5-15,9/25/2023,A,DNA,NA,NA,NA,4.2,9.523809524,NA,0.146,7,1.022,T05,7.5-15,7.5,15,losts of grass roots,230526,Tree 05,Sampling SW of tree,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488087,-122.151009,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,5.329284891634388,0.9803180914512925,0.949403578528827,0.9684648144392616,1.15205584966699,losts of grass roots,10YR,6,4,4,3,20.31,38.7,40.99,Lo,6.85,13.91,7.6,3.22,9,15,2110,269,200,18,75.84,16.12,3.69,0.56,3.8,0,0.48,63,86,2.31,1.78,397,0,0.9,6,1.41,0.12,11.75,524.7035879958346,196.0636182902585,2494.43,871.01,34.92,360.6,14.46,188.74,7.57,510.41,20.46,229.34,47.96,7.27,181.38,1.1,27.45,54.79,1366.63,0.26,0.03,0.71,1.97,7.41,1.9226837393713192,DO_T05_7.5-15_RNA,0.5287813
D13-R,PCR_F_bc011,PCR_R_bc004,RNA,PCR_16S,DO_T04_22.5-30,9/25/2023,B,NA,NA,NA,NA,11.8,3.389830508,NA,0.77,2,1.54,T04,22.5-30,22.5,30,Lost about 50% of sample after seiving,230522,Tree 04,"center of core distance from trunk is 47cm. Live and burned, west side of tree",TRUE,FALSE,FALSE,FALSE,unburned,living,38.488092,-122.150914,yes,1,Manzanita,living,6.8,0,NA,NA,NA,0,TRUE,FALSE,FALSE,8.299638220898062,0.953134211043427,0.9233641186873648,0.9687661065869498,1.376515909835718,Lost about 50% of sample after seiving,10YR,6,4,3,3,29.48,37.52,33,ClLo,5.78,23.21,6.4,2.78,5,7,2298,929,236,28,49.5,33.35,2.61,0.52,5,9,0.23,97,37,4.06,0.87,688,0,1.4,3,0.74,0.08,9.25,1755.7735466589445,591.9465100164441,788.51,292.29,37.07,130.81,16.59,67.19,8.52,161.48,20.48,95.47,15.43,10.15,80.04,0,0,50.82,400.74,0.33,0,0.81,2.58,4.31,1.956855334745279,DO_T04_22.5-30_RNA,43.4002919
D14-R,PCR_F_bc012,PCR_R_bc004,RNA,PCR_16S,DO_T06_30-37.5,9/25/2023,C,NA,NA,NA,NA,13.8,2.898550725,NA,0.6,3,1.8,T06,30-37.5,30,37.5,"Lots of roots! Almost dropped, some loose material fell out",230528,Tree 06 alive,Sampling ESE side of tree,TRUE,FALSE,FALSE,FALSE,burned,living,38.488087,-122.151882,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,9.844223279965377,0.9607051408311996,0.9103801457553674,0.9476166068682726,1.1569352873367642,"Lots of roots! Almost dropped, some loose material fell out",10YR,6,5,4,4,34.68,42.04,23.28,ClLo,4.61,27.27,5.4,2.45,7,11,2241,571,160,22,41.09,17.45,1.5,0.35,6.6,33,0,94,30,3.16,1.16,674,0,4.3,3,0.94,0.09,10.44,1638.2550822595194,697.7753128142398,2196.33,796.91,36.28,417.43,19.01,226.69,10.32,379.48,17.28,158.64,27.89,5.95,130.76,0.69,15.07,55.81,1225.7,0.2,0.02,1.1,2.43,4.43,1.2698456060792322,DO_T06_30-37.5_RNA,120.0294
D15-R,PCR_F_bc013,PCR_R_bc004,RNA,PCR_16S,DO_T07_7.5-15,9/27/2023,A,NA,NA,NA,NA,37.05,1.079622132,25uL,0.586,3,1.758,T07,7.5-15,7.5,15,some roots,230529,Tree 07 dead,NA,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488857,-122.151742,yes,2,Pine,dead,2.43,45,Oak,dead,5.57,104,TRUE,TRUE,FALSE,8.547008547008554,0.960330908003588,0.921259842519685,0.9593149974052932,1.3118620707257622,some roots,10YR,6,4,3,3,27.99,44.12,27.89,ClLo,6.48,23.84,7.3,4.3,7,23,3597,404,562,15,75.44,14.12,6.04,0.27,4.1,0,0.68,84,49,3.22,1.57,558,0,2.1,9,1.71,0.15,11.4,1524.3195312611238,1694.2981019777587,2739.73,639.57,23.34,326.68,11.92,128.15,4.68,312.89,11.42,278.16,36.84,8.81,241.33,0.6,16.56,65.5,1794.44,0.43,0.03,1.04,2.51,2.23,1.3446580502458272,DO_T07_7.5-15_RNA,16.12115
D16-R,PCR_F_bc014,PCR_R_bc004,RNA,PCR_16S,DO_T03_15-22.5,9/27/2023,D,NA,NA,NA,NA,34.5,1.15942029,50uL,0.594,3,1.782,T03,15-22.5,15,22.5,yes roots,230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,12.017406828832844,0.9229006873194542,0.8927183982468374,0.9672962763086886,0.9110936391831984,yes roots,10YR,5,4,4,3,18.39,42.42,39.19,Lo,6.09,16.18,6.7,4.53,7,13,2189,363,257,14,67.65,18.7,4.07,0.38,4.7,4.5,0.32,69,59,3.29,2.87,419,0,2.6,2,2.29,0.18,12.72,1776.5838230899492,1592.0036856260583,3397.46,1270.86,37.41,450.36,13.26,208.86,6.15,820.5,24.15,386.92,56.94,9.71,329.98,0.99,33.69,50.21,1705.98,0.3,0.03,0.55,1.65,4.05,1.675957921506066,DO_T03_15-22.5_RNA,307.7908
D17-R,PCR_F_bc015,PCR_R_bc004,RNA,PCR_16S,DO_T06_15-22.5,9/27/2023,C,NA,NA,NA,NA,35.8,1.117318436,NA,0.518,3,1.554,T06,15-22.5,15,22.5,"Lots of rooots, some sample spilled",230528,Tree 06 alive,Sampling ESE side of tree,TRUE,FALSE,FALSE,FALSE,burned,living,38.488087,-122.151882,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,7.714592274678108,0.967626257595378,0.9283793206494672,0.9594399835289272,1.2991291822508104,"Lots of rooots, some sample spilled",10YR,6,4,3,3,33.39,42.04,24.57,ClLo,4.67,33.94,5.4,3.52,7,11,2842,663,255,25,41.87,16.28,1.93,0.32,6.6,33,0.25,182,62,3.66,1.49,906,0,4,3,1.36,0.11,12.36,2103.313917825743,1823.2115801007649,2620.3,612.73,23.38,355.5,13.57,159.88,6.1,257.23,9.82,324.94,31.07,11.22,293.87,0.98,25.63,63.24,1657.01,0.53,0.04,1.38,2.34,1.9,1.1857420906003129,DO_T06_15-22.5_RNA,171.78082964
D18-R,PCR_F_bc016,PCR_R_bc004,RNA,PCR_16S,DO_T02_7.5-15,9/29/2023,B,NA,NA,NA,NA,36.3,1.101928375,25uL,0.396,3,1.188,T02,7.5-15,7.5,15,NA,230508,NA,Test Glade & Laura Monday May 8 2023,TRUE,TRUE,FALSE,FALSE,burned,dead,38.48673,-122.15038,yes,NA,Oak,dead,NA,NA,Oak,dead,NA,NA,FALSE,FALSE,FALSE,21.655426118945428,0.8523334341296239,0.8219937506299768,0.964403973509934,0.9143181702712369,NA,10YR,5,3,4,3,23.02,49,27.98,Lo,6.25,17.71,6.8,5.1,5,33,2685,306,129,14,75.8,14.4,1.87,0.34,4.6,3,0.49,116,122,2.9,4.17,426,0,1.5,17,2.53,0.15,16.87,1749.526522687123,1628.4054557318602,2927.52,960.48,32.81,302.94,10.35,123.55,4.22,657.54,22.46,233.04,54.77,6.09,178.26,1.1,32.09,58.14,1701.92,0.24,0.03,0.46,1.82,10.71,1.8708668087664644,DO_T02_7.5-15_RNA,NA
D19-R,PCR_F_bc017,PCR_R_bc004,RNA,PCR_16S,DO_T03_7.5-15,9/29/2023,C,NA,NA,NA,NA,28.1,1.423487544,50uL,0.726,2,1.452,T03,7.5-15,7.5,15,yes root,230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,10.359268238924406,0.9371879368883564,0.9061314160175752,0.9668620138518912,1.0760494141265435,yes root,10YR,5,4,4,3,23.34,39.13,37.53,Lo,6.81,19.54,6.9,4.39,6,12,2807,411,330,14,71.83,17.53,4.33,0.31,4.5,1.5,0.5,66,52,3.23,1.93,475,0,1.4,3,2.44,0.15,16.27,2071.6785973321566,1386.0516329769905,3408.07,1270.03,37.27,536.08,15.73,252.57,7.41,733.95,21.54,336.15,68.09,7.87,268.06,1.16,39.59,51.71,1762.3,0.26,0.03,0.73,1.97,10.21,1.9979049726091307,DO_T03_7.5-15_RNA,196.08989453
