"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"Unclass_f__Acidobacteriaceae (Subgroup 1)","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","Unclass_f__Acidobacteriaceae (Subgroup 1)",NA,NA,"Unclass_f__Acidobacteriaceae (Subgroup 1)"
"Unclass_f__KF-JG30-B3","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__KF-JG30-B3","Unclass_f__KF-JG30-B3",NA,NA,"Unclass_f__KF-JG30-B3"
"Unclass_f__Pedosphaeraceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","Unclass_f__Pedosphaeraceae",NA,NA,"Unclass_f__Pedosphaeraceae"
"g__Caulobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Caulobacter",NA,NA,"g__Caulobacter"
"g__Psychroglaciecola","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Psychroglaciecola",NA,NA,"g__Psychroglaciecola"
"g__Candidatus Brownia","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Blattabacteriaceae","g__Candidatus Brownia",NA,NA,"g__Candidatus Brownia"
"g__Cellvibrio","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Cellvibrionaceae","g__Cellvibrio",NA,NA,"g__Cellvibrio"
"Unclass_f__YM_S32_TM7_50_20","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__YM_S32_TM7_50_20","Unclass_f__YM_S32_TM7_50_20",NA,NA,"Unclass_f__YM_S32_TM7_50_20"
"g__Gemmatimonas","k__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Gemmatimonas",NA,NA,"g__Gemmatimonas"
"Unclass_o__SBR1031","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__SBR1031","f__","Unclass_o__SBR1031",NA,NA,"Unclass_o__SBR1031"
"Unclass_o__Saccharimonadales","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__","Unclass_o__Saccharimonadales",NA,NA,"Unclass_o__Saccharimonadales"
"g__Pirellula","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__Pirellulaceae","g__Pirellula",NA,NA,"g__Pirellula"
"g__Candidatus Koribacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Koribacteraceae","g__Candidatus Koribacter",NA,NA,"g__Candidatus Koribacter"
"Unclass_c__Thermoleophilia","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__","f__","Unclass_c__Thermoleophilia",NA,NA,"Unclass_c__Thermoleophilia"
"g__Actinophytocola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinophytocola",NA,NA,"g__Actinophytocola"
"g__Cellulomonas","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Cellulomonas",NA,NA,"g__Cellulomonas"
"Unclass_f__Caulobacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","Unclass_f__Caulobacteraceae",NA,NA,"Unclass_f__Caulobacteraceae"
"g__Actinomadura","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Actinomadura",NA,NA,"g__Actinomadura"
"g__Nonomuraea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Nonomuraea",NA,NA,"g__Nonomuraea"
"g__Opitutus","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Opitutus",NA,NA,"g__Opitutus"
"Unclass_f__Micropepsaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Micropepsales","f__Micropepsaceae","Unclass_f__Micropepsaceae",NA,NA,"Unclass_f__Micropepsaceae"
"Unclass_f__Sandaracinaceae","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Sandaracinaceae","Unclass_f__Sandaracinaceae",NA,NA,"Unclass_f__Sandaracinaceae"
"Unclass_o__Methanomassiliicoccales","k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__","Unclass_o__Methanomassiliicoccales",NA,NA,"Unclass_o__Methanomassiliicoccales"
"g__1959-1","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__1959-1",NA,NA,"g__1959-1"
"g__Afipia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Afipia",NA,NA,"g__Afipia"
"g__IS-44","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__IS-44",NA,NA,"g__IS-44"
"Unclass_f__Methyloligellaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methyloligellaceae","Unclass_f__Methyloligellaceae",NA,NA,"Unclass_f__Methyloligellaceae"
"Unclass_f__env.OPS 17","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__env.OPS 17","Unclass_f__env.OPS 17",NA,NA,"Unclass_f__env.OPS 17"
"Unclass_f__B1-7BS","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__B1-7BS","Unclass_f__B1-7BS",NA,NA,"Unclass_f__B1-7BS"
"g__Parviterribacter","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Parviterribacter",NA,NA,"g__Parviterribacter"
"Unclass_f__Nitrosococcaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Nitrosococcales","f__Nitrosococcaceae","Unclass_f__Nitrosococcaceae",NA,NA,"Unclass_f__Nitrosococcaceae"
"Unclass_o__Rhodospirillales","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__","Unclass_o__Rhodospirillales",NA,NA,"Unclass_o__Rhodospirillales"
"g__Chthoniobacter","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Chthoniobacteraceae","g__Chthoniobacter",NA,NA,"g__Chthoniobacter"
"g__Flavitalea","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Flavitalea",NA,NA,"g__Flavitalea"
"Unclass_f__Rhodospirillaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","Unclass_f__Rhodospirillaceae",NA,NA,"Unclass_f__Rhodospirillaceae"
"Unclass_p__Armatimonadota","k__Bacteria","p__Armatimonadota","c__","o__","f__","Unclass_p__Armatimonadota",NA,NA,"Unclass_p__Armatimonadota"
"Unclass_o__WD260","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__WD260","f__","Unclass_o__WD260",NA,NA,"Unclass_o__WD260"
"Unclass_o__Solirubrobacterales","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__","Unclass_o__Solirubrobacterales",NA,NA,"Unclass_o__Solirubrobacterales"
"Unclass_o__Subgroup 13","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup 13","f__","Unclass_o__Subgroup 13",NA,NA,"Unclass_o__Subgroup 13"
"Unclass_o__KF-JG30-C25","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__KF-JG30-C25","f__","Unclass_o__KF-JG30-C25",NA,NA,"Unclass_o__KF-JG30-C25"
"Unclass_o__Planctomycetales","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__","Unclass_o__Planctomycetales",NA,NA,"Unclass_o__Planctomycetales"
"g__Arsenicitalea","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Devosiaceae","g__Arsenicitalea",NA,NA,"g__Arsenicitalea"
"g__1921-3","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__1921-3",NA,NA,"g__1921-3"
"g__Occallatibacter","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Occallatibacter",NA,NA,"g__Occallatibacter"
"g__Arcticibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Arcticibacter",NA,NA,"g__Arcticibacter"
"g__Acidovorax","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax",NA,NA,"g__Acidovorax"
"g__Sphingobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingobium",NA,NA,"g__Sphingobium"
"g__JCM 18997","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__JCM 18997",NA,NA,"g__JCM 18997"
"g__Luteolibacter","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Rubritaleaceae","g__Luteolibacter",NA,NA,"g__Luteolibacter"
"g__Ellin6067","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Ellin6067",NA,NA,"g__Ellin6067"
"g__Lechevalieria","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Lechevalieria",NA,NA,"g__Lechevalieria"
"Unclass_f__Pseudonocardiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","Unclass_f__Pseudonocardiaceae",NA,NA,"Unclass_f__Pseudonocardiaceae"
"Unclass_f__D05-2","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__D05-2","Unclass_f__D05-2",NA,NA,"Unclass_f__D05-2"
"Unclass_f__WX65","k__Bacteria","p__Methylomirabilota","c__Methylomirabilia","o__Rokubacteriales","f__WX65","Unclass_f__WX65",NA,NA,"Unclass_f__WX65"
"Unclass_f__Chitinophagaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","Unclass_f__Chitinophagaceae",NA,NA,"Unclass_f__Chitinophagaceae"
"g__Corallococcus","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Corallococcus",NA,NA,"g__Corallococcus"
"g__Granulicella","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Granulicella",NA,NA,"g__Granulicella"
"Unclass_c__Gammaproteobacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","Unclass_c__Gammaproteobacteria",NA,NA,"Unclass_c__Gammaproteobacteria"
"g__OLB12","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Microscillaceae","g__OLB12",NA,NA,"g__OLB12"
"g__Lacunisphaera","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Lacunisphaera",NA,NA,"g__Lacunisphaera"
"g__Rhodanobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Rhodanobacter",NA,NA,"g__Rhodanobacter"
"Unclass_f__Beijerinckiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","Unclass_f__Beijerinckiaceae",NA,NA,"Unclass_f__Beijerinckiaceae"
"g__Nitrospira","k__Bacteria","p__Nitrospirota","c__Nitrospiria","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira",NA,NA,"g__Nitrospira"
"g__Microlunatus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Microlunatus",NA,NA,"g__Microlunatus"
"g__Diplosphaera","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Diplosphaera",NA,NA,"g__Diplosphaera"
"Unclass_c__Gitt-GS-136","k__Bacteria","p__Chloroflexi","c__Gitt-GS-136","o__","f__","Unclass_c__Gitt-GS-136",NA,NA,"Unclass_c__Gitt-GS-136"
"g__Pseudoxanthomonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Pseudoxanthomonas",NA,NA,"g__Pseudoxanthomonas"
"Unclass_f__Microbacteriaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","Unclass_f__Microbacteriaceae",NA,NA,"Unclass_f__Microbacteriaceae"
"Unclass_f__KD3-93","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__KD3-93","Unclass_f__KD3-93",NA,NA,"Unclass_f__KD3-93"
"g__Luedemannella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Luedemannella",NA,NA,"g__Luedemannella"
"g__possible genus 04","k__Bacteria","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","g__possible genus 04",NA,NA,"g__possible genus 04"
"g__Bosea","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Bosea",NA,NA,"g__Bosea"
"g__Novosphingobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium",NA,NA,"g__Novosphingobium"
"Unclass_p__Chloroflexi","k__Bacteria","p__Chloroflexi","c__","o__","f__","Unclass_p__Chloroflexi",NA,NA,"Unclass_p__Chloroflexi"
"Unclass_o__0319-7L14","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__0319-7L14","f__","Unclass_o__0319-7L14",NA,NA,"Unclass_o__0319-7L14"
"Unclass_f__Acetobacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","Unclass_f__Acetobacteraceae",NA,NA,"Unclass_f__Acetobacteraceae"
"g__Candidatus Nostocoida","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Candidatus Nostocoida",NA,NA,"g__Candidatus Nostocoida"
"g__Xylophilus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Xylophilus",NA,NA,"g__Xylophilus"
"g__mle1-7","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__mle1-7",NA,NA,"g__mle1-7"
"g__Sphaerisporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Sphaerisporangium",NA,NA,"g__Sphaerisporangium"
"g__Brevundimonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas",NA,NA,"g__Brevundimonas"
"g__OM27 clade","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bdellovibrionales","f__Bdellovibrionaceae","g__OM27 clade",NA,NA,"g__OM27 clade"
"Unclass_f__Elsteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__Elsteraceae","Unclass_f__Elsteraceae",NA,NA,"Unclass_f__Elsteraceae"
"g__Phyllobacterium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Phyllobacterium",NA,NA,"g__Phyllobacterium"
"g__Azotobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Azotobacter",NA,NA,"g__Azotobacter"
"Unclass_f__A4b","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__SBR1031","f__A4b","Unclass_f__A4b",NA,NA,"Unclass_f__A4b"
"g__CL500-29 marine group","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Ilumatobacteraceae","g__CL500-29 marine group",NA,NA,"g__CL500-29 marine group"
"Unclass_f__Roseiflexaceae","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__Roseiflexaceae","Unclass_f__Roseiflexaceae",NA,NA,"Unclass_f__Roseiflexaceae"
"g__Duganella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Duganella",NA,NA,"g__Duganella"
"g__OLB17","k__Bacteria","p__Acidobacteriota","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","g__OLB17",NA,NA,"g__OLB17"
"g__Planosporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Planosporangium",NA,NA,"g__Planosporangium"
"g__Modestobacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","g__Modestobacter",NA,NA,"g__Modestobacter"
"Unclass_o__CCD24","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__CCD24","f__","Unclass_o__CCD24",NA,NA,"Unclass_o__CCD24"
"g__FCPS473","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonobacteraceae","g__FCPS473",NA,NA,"g__FCPS473"
"g__Altererythrobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Altererythrobacter",NA,NA,"g__Altererythrobacter"
"g__Angustibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","g__Angustibacter",NA,NA,"g__Angustibacter"
"g__Flindersiella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Flindersiella",NA,NA,"g__Flindersiella"
"g__Ilumatobacter","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Ilumatobacteraceae","g__Ilumatobacter",NA,NA,"g__Ilumatobacter"
"g__Longimicrobium","k__Bacteria","p__Gemmatimonadota","c__Longimicrobia","o__Longimicrobiales","f__Longimicrobiaceae","g__Longimicrobium",NA,NA,"g__Longimicrobium"
"Unclass_o__Thermomicrobiales","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__","Unclass_o__Thermomicrobiales",NA,NA,"Unclass_o__Thermomicrobiales"
"Unclass_f__Ilumatobacteraceae","k__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Microtrichales","f__Ilumatobacteraceae","Unclass_f__Ilumatobacteraceae",NA,NA,"Unclass_f__Ilumatobacteraceae"
"g__IMCC26134","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__IMCC26134",NA,NA,"g__IMCC26134"
"g__Ferruginibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter",NA,NA,"g__Ferruginibacter"
"g__Chthonomonas","k__Bacteria","p__Armatimonadota","c__Chthonomonadetes","o__Chthonomonadales","f__Chthonomonadaceae","g__Chthonomonas",NA,NA,"g__Chthonomonas"
"g__Methylorosula","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylorosula",NA,NA,"g__Methylorosula"
"g__Chitinophaga","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Chitinophaga",NA,NA,"g__Chitinophaga"
"g__Geodermatophilus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Geodermatophilaceae","g__Geodermatophilus",NA,NA,"g__Geodermatophilus"
"Unclass_f__JG30-KF-AS9","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__JG30-KF-AS9","Unclass_f__JG30-KF-AS9",NA,NA,"Unclass_f__JG30-KF-AS9"
"g__Niastella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Niastella",NA,NA,"g__Niastella"
"g__Tardiphaga","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Tardiphaga",NA,NA,"g__Tardiphaga"
"Unclass_f__Magnetospiraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Magnetospiraceae","Unclass_f__Magnetospiraceae",NA,NA,"Unclass_f__Magnetospiraceae"
"Unclass_f__Myxococcaceae","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","Unclass_f__Myxococcaceae",NA,NA,"Unclass_f__Myxococcaceae"
"g__P3OB-42","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__P3OB-42",NA,NA,"g__P3OB-42"
"Unclass_o__Chthonomonadales","k__Bacteria","p__Armatimonadota","c__Chthonomonadetes","o__Chthonomonadales","f__","Unclass_o__Chthonomonadales",NA,NA,"Unclass_o__Chthonomonadales"
"Unclass_f__Nitrosomonadaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","Unclass_f__Nitrosomonadaceae",NA,NA,"Unclass_f__Nitrosomonadaceae"
"g__Chryseoglobus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Chryseoglobus",NA,NA,"g__Chryseoglobus"
"Unclass_f__Mitochondria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria","Unclass_f__Mitochondria",NA,NA,"Unclass_f__Mitochondria"
"Unclass_f__Pirellulaceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__Pirellulaceae","Unclass_f__Pirellulaceae",NA,NA,"Unclass_f__Pirellulaceae"
"Unclass_p__MBNT15","k__Bacteria","p__MBNT15","c__","o__","f__","Unclass_p__MBNT15",NA,NA,"Unclass_p__MBNT15"
"Unclass_c__Subgroup 22","k__Bacteria","p__Acidobacteriota","c__Subgroup 22","o__","f__","Unclass_c__Subgroup 22",NA,NA,"Unclass_c__Subgroup 22"
"g__Tychonema CCAP 1459-11B","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Phormidiaceae","g__Tychonema CCAP 1459-11B",NA,NA,"g__Tychonema CCAP 1459-11B"
"g__Flavisolibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Flavisolibacter",NA,NA,"g__Flavisolibacter"
"Unclass_f__Polyangiaceae","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","Unclass_f__Polyangiaceae",NA,NA,"Unclass_f__Polyangiaceae"
"Unclass_f__Nocardioidaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","Unclass_f__Nocardioidaceae",NA,NA,"Unclass_f__Nocardioidaceae"
"Unclass_o__Streptosporangiales","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__","Unclass_o__Streptosporangiales",NA,NA,"Unclass_o__Streptosporangiales"
"Unclass_f__Xanthomonadaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","Unclass_f__Xanthomonadaceae",NA,NA,"Unclass_f__Xanthomonadaceae"
"g__Kibdelosporangium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Kibdelosporangium",NA,NA,"g__Kibdelosporangium"
