Extraction Date,Date Collected,Starting depth (cm),Tree,Depth cm,RNA ng/uL,DNA ng/uL,S1 RNA,S2 RNA,S1 DNA,S2 DNA,S1 DNA 2nd round,S2 DNA 2nd round,Notes_Intial_ Extractions,20uL RNA DILUTION 2ng/uL,20uL DNA Dilution 2ng/uL,Soil Mass (g)
10/25/23,220523,0,T04,0-7.5,26.2,36.4,64.44,1312.74,39.76,15080.83,,,,1.526717557,1.098901099,1.99
10/24/23,220523,15,T04,15-22.5,25.2,107.6,70.25,1191.69,36.85,17293.9,,,,1.587301587,0.3717472119,2.03
9/25/2023,220523,22.5,T04,22.5-30,11.8,105,65.09,1426.96,36.05,17816.3,,,,3.389830508,0.380952381,1.9
8/15/23,290523,15,T07,15-22.5,0,25.8,62.05,1357.47,34.45,15994.4,,,,#DIV/0!,1.550387597,
9/19/2023,220523,30,T04,30-37.5,0.608,6.24,63.47,1344.78,35.24,16798.52,,,,65.78947368,6.41025641,1.9
10/25/23,220523,37.5,T04,37.5-45,0,0,64.44,1312.74,39.76,15080.83,,,,#DIV/0!,#DIV/0!,2.13
9/12/23,220523,7.5,T04,7.5-15,51.4,272,65.37,1424.89,34.95,15961.24,,,,0.7782101167,0.1470588235,2
8/22/23,260523,0,T05,0-7.5,69.2,140,63.69,1373.49,37.08,15684.5,35.09,15575.35,Brown Burned?,0.5780346821,0.2857142857,2.1
9/29/2023,260523,15,T05,15-22.5,7.58,45.6,67.53,1501.25,34.5,17885.8,,,,5.277044855,0.8771929825,2
10/25/23,260523,22.5,T05,22.5-30,19.1,137.6,64.44,1312.74,39.76,15080.83,,,,2.094240838,0.2906976744,2.11
9/27/2023,260523,22.5,T05,22.5-30,0,51.8,63.09,1050.1,34.21,16394.42,,,,#DIV/0!,0.7722007722,
10/25/23,260523,30,T05,30-37.5,0,61.4,64.44,1312.74,39.76,15080.83,,,,#DIV/0!,0.651465798,2.09
9/12/23,260523,37.5,T05,37.5-45,0,0,65.37,1424.89,34.95,15961.24,,,,#DIV/0!,#DIV/0!,2
8/30/23,260523,60,T05,60-70,0,0,74.08,1381.9,32.53,15621.61,,,,#DIV/0!,#DIV/0!,1.9
9/25/2023,260523,7.5,T05,7.5-15,4.2,11.24,65.09,1426.96,36.05,17816.3,,,,9.523809524,3.558718861,2.1
9/8/23,200523,30,T03,30-37.5,0,0.0219,65.55,1333.35,36.3,19762.5,,,,#DIV/0!,1826.484018,
9/19/2023,280523,0,T06,0-7.5,96.8,147.8,63.47,1344.78,35.24,16798.52,,,,0.4132231405,0.2706359946,2.1
9/27/2023,280523,15,T06,15-22.5,35.8,82.6,63.09,1050.1,34.21,16394.42,,,,1.117318436,0.4842615012,1.9
9/19/2023,260523,30,T05,30-37.5,0,24.6,63.47,1344.78,35.24,16798.52,,,,#DIV/0!,1.62601626,
9/12/23,280523,22.5,T06,22.5-30,5.78,48.4,65.37,1424.89,34.95,15961.24,,,,6.920415225,0.826446281,2
9/25/2023,280523,30,T06,30-37.5,13.8,97.2,65.09,1426.96,36.05,17816.3,,,,2.898550725,0.4115226337,1.9
9/25/2023,290523,30,T07,30-37.5,0,0.0656,65.09,1426.96,36.05,17816.3,,,,#DIV/0!,609.7560976,
10/31/23,280523,37.5,T06,37.5-45,6.86,31.8,66.93,1511.77,37.59,15915.54,,,,5.83090379,1.257861635,2.12
10/31/23,280523,7.5,T06,7.5-15,23.4,76.4,66.93,1511.77,37.59,15915.54,,,,1.709401709,0.5235602094,2.06
8/15/23,220523,37.5,T04,37.5-45,0,0,62.05,1357.47,34.45,15994.4,,,,#DIV/0!,#DIV/0!,
8/22/23,220523,37.5,T04,37.5-45,0,0,63.69,1373.49,37.08,15684.5,,,,#DIV/0!,#DIV/0!,
8/30/23,290523,0,T07,0-7.5,65.4,99.4,74.08,1381.9,32.53,15621.61,,,,0.6116207951,0.4024144869,2
8/15/23,260523,37.5,T05,37.5-45,0,0,62.05,1357.47,34.45,15994.4,,,,#DIV/0!,#DIV/0!,
8/22/23,290523,15,T07,15-22.5,9.12,18.9,63.69,1373.49,37.08,15684.5,,,,4.385964912,2.116402116,2.1
9/8/23,280523,37.5,T06,37.5-45,0,7.60E-03,65.55,1333.35,36.3,19762.5,,,,#DIV/0!,5.26E+03,
9/8/23,290523,22.5,T07,22.5-30,0.337,0.758,65.55,1333.35,36.3,19762.5,,,,118.694362,52.77044855,2.1
10/24/23,290523,30,T07,30-37.5,0,0.067,70.25,1191.69,36.85,17293.9,,,,#DIV/0!,597.0149254,2.12
9/27/2023,290523,7.5,T07,7.5-15,49.4,200,63.09,1050.1,34.21,16394.42,,,,0.8097165992,0.2,2.1
