Seq_ID,methanotrophy,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,aerobic_ammonia_oxidation,aerobic_nitrite_oxidation,nitrification,sulfate_respiration,dark_sulfite_oxidation,sulfite_respiration,thiosulfate_respiration,respiration_of_sulfur_compounds,arsenate_detoxification,dissimilatory_arsenate_reduction,nitrate_denitrification,nitrite_denitrification,denitrification,chitinolysis,knallgas_bacteria,dark_hydrogen_oxidation,nitrogen_fixation,nitrate_ammonification,nitrite_ammonification,nitrite_respiration,cellulolysis,xylanolysis,dark_sulfur_oxidation,dark_thiosulfate_oxidation,dark_oxidation_of_sulfur_compounds,manganese_oxidation,ligninolysis,fermentation,aerobic_chemoheterotrophy,invertebrate_parasites,human_pathogens_septicemia,human_pathogens_pneumonia,human_pathogens_nosocomia,human_pathogens_meningitis,human_pathogens_gastroenteritis,human_pathogens_diarrhea,human_pathogens_all,human_gut,human_associated,mammal_gut,animal_parasites_or_symbionts,plant_pathogen,aromatic_hydrocarbon_degradation,aromatic_compound_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon_degradation,iron_respiration,nitrate_respiration,nitrate_reduction,nitrogen_respiration,fumarate_respiration,intracellular_parasites,chlorate_reducers,predatory_or_exoparasitic,chloroplasts,nonphotosynthetic_cyanobacteria,photosynthetic_cyanobacteria,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,oxygenic_photoautotrophy,photoautotrophy,aerobic_anoxygenic_phototrophy,photoheterotrophy,phototrophy,plastic_degradation,ureolysis,chemoheterotrophy,anaerobic_chemoheterotrophy
DO_PCR_R_bc004_PCR_F_bc008_R1.fastq.gz,3e-4,0,0,0,3e-4,3e-4,0.015300000000000001,0,0.015300000000000001,0,0,0,0,0,3e-4,3e-4,0.0034000000000000002,0.0034000000000000002,0.0037,5e-4,0,0.011899999999999999,0.0029,0,0,0.0034000000000000002,0.0084,3e-4,0,0,3e-4,5e-4,0,0.0069,0.1696,3e-4,0,0,0,0,0,0,0.0011,0,0.0011,0,0.0024,0,0,0.0026,0,3e-4,5e-4,0.0037,0.0121,0.004,0,0.0034000000000000002,0,0.027999999999999997,3e-4,0.005,5e-4,0,0.0034000000000000002,0.0034000000000000002,5e-4,0.004,0,0.0037,0.0042,3e-4,0.0105,0.20329999999999998,0.0338
DO_PCR_R_bc004_PCR_F_bc009_R1.fastq.gz,0.0022,0.0014000000000000002,0.0014000000000000002,0.0014000000000000002,0.0018,0.0036,0.0097,4e-4,0.0101,0,0,0,0,0,0,0,0.0014000000000000002,0.0014000000000000002,0.0014000000000000002,0.0011,0,0.0137,0.004,0,0,0.0014000000000000002,0.019799999999999998,4e-4,0,4e-4,4e-4,0.0011,0,0.0043,0.1925,4e-4,0,0.0011,4e-4,0,0,0,0.0036,0,0.0036,0,0.004699999999999999,4e-4,0,0.0022,7.000000000000001e-4,0.0029,0.0011,0.0014000000000000002,0.0076,0.0014000000000000002,0,0.0083,0,0.011200000000000002,4e-4,0.004699999999999999,4e-4,0,0.0011,0.0011,4e-4,0.0014000000000000002,0,0.0018,0.0022,4e-4,0.0097,0.2116,0.0191
DO_PCR_R_bc004_PCR_F_bc010_R1.fastq.gz,0.0014000000000000002,0,0,0,0.0023,0.0028000000000000004,0.0163,5e-4,0.0168,0,0,0,0,0,9e-4,9e-4,0.0033,0.0033,0.0033,0.0019,0,0.0187,0.0089,5e-4,5e-4,0.0037,0.0079,0.0019,0,5e-4,0.0014000000000000002,9e-4,9e-4,0.0196,0.3368,9e-4,0,0.0014000000000000002,5e-4,0,0,0,0.0075,0,0.0075,0,0.0084,0,9e-4,0.011699999999999999,0.0014000000000000002,0.0028000000000000004,0,0.004699999999999999,0.022400000000000003,0.004699999999999999,0,0.020099999999999996,0,0.0191,0.0014000000000000002,0.006999999999999999,0.0014000000000000002,0,0.0023,0.0023,0.0014000000000000002,0.0037,0,0.0042,0.005600000000000001,9e-4,0.027999999999999997,0.37689999999999996,0.04019999999999999
DO_PCR_R_bc004_PCR_F_bc011_R1.fastq.gz,8e-4,4e-4,4e-4,4e-4,8e-4,0.0014000000000000002,0.0109,0,0.0109,0,0,0,0,0,2e-4,2e-4,0.003,0.003,0.0032,4e-4,0,0.0125,0.0034000000000000002,0,0,0.003,0.0101,2e-4,0,2e-4,2e-4,8e-4,0,0.0053,0.1559,2e-4,0,6e-4,2e-4,0,0,0,0.0016,0,0.0016,0,0.0026,0,2e-4,0.0028000000000000004,6e-4,0.0014000000000000002,8e-4,0.0032,0.0097,0.0034000000000000002,0,0.0051,0,0.021400000000000002,2e-4,0.0075,2e-4,0,0.0028000000000000004,0.0028000000000000004,2e-4,0.003,0,0.0034000000000000002,0.0036,4e-4,0.0077,0.17629999999999998,0.0204
DO_PCR_R_bc004_PCR_F_bc012_R1.fastq.gz,0.0011,0,0,0,0.0011,0.0011,0.011399999999999999,0,0.011399999999999999,0,0,0,0,0,6e-4,6e-4,0.0023,0.0023,0.0023,6e-4,0,0.0154,0.0046,0,0,0.0023,0.0199,6e-4,0,6e-4,6e-4,6e-4,0,0.004,0.2139,6e-4,0,0,0,0,0,0,0.0028000000000000004,0,0.0028000000000000004,0,0.0051,0,0,0.0011,6e-4,0.0017000000000000001,0.0017000000000000001,0.0028000000000000004,0.0102,0.0028000000000000004,0,0.011399999999999999,0,0.014199999999999999,6e-4,0.0028000000000000004,6e-4,0,0.0023,0.0023,6e-4,0.0028000000000000004,0,0.0028000000000000004,0.0034000000000000002,6e-4,0.0165,0.22640000000000002,0.0125
DO_PCR_R_bc004_PCR_F_bc013_R1.fastq.gz,0,0,0,0,3e-4,3e-4,0.0171,3e-4,0.0174,0,0,3e-4,3e-4,3e-4,3e-4,3e-4,0.0031,0.0031,0.0034000000000000002,8e-4,0,0.0126,0.0039000000000000003,0,3e-4,0.0034000000000000002,0.005600000000000001,6e-4,0,3e-4,8e-4,0.0014000000000000002,0,0.0073,0.2109,6e-4,6e-4,8e-4,0,3e-4,8e-4,3e-4,0.0034000000000000002,8e-4,0.0034000000000000002,8e-4,0.0051,6e-4,6e-4,0.0076,3e-4,6e-4,8e-4,0.0037,0.0138,0.0039000000000000003,3e-4,0.0037,0,0.0258,3e-4,0.0048,6e-4,0,0.0028000000000000004,0.0028000000000000004,6e-4,0.0034000000000000002,0,0.0034000000000000002,0.0039000000000000003,6e-4,0.0138,0.2519,0.040999999999999995
DO_PCR_R_bc004_PCR_F_bc014_R1.fastq.gz,2e-4,0,0,0,5e-4,5e-4,0.0146,0,0.0146,0,0,0,0,0,2e-4,2e-4,0.0040999999999999995,0.0040999999999999995,0.0044,7.000000000000001e-4,0,0.0124,0.0029,0,0,0.0040999999999999995,0.0076,5e-4,0,0,2e-4,0.0012,0,0.0095,0.19440000000000002,5e-4,0,0,0,0,0,0,0.0022,0,0.0022,0,0.0039000000000000003,0,2e-4,0.0034000000000000002,5e-4,7.000000000000001e-4,5e-4,0.0051,0.0154,0.0054,0,0.0060999999999999995,0,0.028300000000000002,2e-4,0.0058,5e-4,0,0.0040999999999999995,0.0040999999999999995,5e-4,0.0046,0,0.0046,0.0051,2e-4,0.0129,0.23170000000000002,0.0373
DO_PCR_R_bc004_PCR_F_bc015_R1.fastq.gz,6e-4,0,0,0,0.0012,0.0012,0.0067,3e-4,0.006999999999999999,0,3e-4,3e-4,3e-4,3e-4,6e-4,6e-4,0.0024,0.0024,0.0024,6e-4,0,0.0131,0.0043,0,3e-4,0.0027,0.017,3e-4,3e-4,9e-4,0.0015,0.0018,0,0.0143,0.2848,6e-4,6e-4,0.0024,0,3e-4,9e-4,3e-4,0.0085,9e-4,0.0085,9e-4,0.011899999999999999,6e-4,3e-4,0.003,3e-4,0.0012,0.0012,0.0043,0.0167,0.0043,3e-4,0.0189,0,0.0207,0.0024,0.0043,0.0027,0,0.0021,0.0021,0.0027,0.0049,0,0.0049,0.0076,6e-4,0.0219,0.3073,0.0225
DO_PCR_R_bc004_PCR_F_bc016_R1.fastq.gz,9e-4,0,0,0,0.0036,0.0038,0.0196,4e-4,0.02,0,0,0,0,0,4e-4,4e-4,0.0038,0.0038,0.004,0.0013,0,0.016200000000000003,0.0067,0,0,0.0038,0.006,9e-4,0,2e-4,7.000000000000001e-4,4e-4,0,0.014199999999999999,0.2541,7.000000000000001e-4,0,0.0011,2e-4,0,0,0,0.0042,0,0.0042,0,0.0078000000000000005,4e-4,0,0.004699999999999999,2e-4,0.0011,4e-4,0.0049,0.0165,0.0051,0,0.028900000000000002,2e-4,0.053399999999999996,0.004699999999999999,0.0113,0.006500000000000001,2e-4,0.0033,0.0036,0.006500000000000001,0.01,2e-4,0.0062,0.0127,2e-4,0.0098,0.2905,0.0365
DO_PCR_R_bc004_PCR_F_bc017_R1.fastq.gz,3e-4,0,0,0,2e-4,3e-4,0.0128,0,0.0128,0,0,0,0,0,2e-4,2e-4,0.0036,0.0036,0.0038,9e-4,0,0.011699999999999999,0.0029,0,0,0.0036,0.0052,3e-4,0,0,3e-4,0.0012,0,0.008100000000000001,0.18739999999999998,3e-4,0,3e-4,0,0,0,0,0.0022,0,0.0022,0,0.0034000000000000002,0,0,0.0038,2e-4,5e-4,7.000000000000001e-4,0.004,0.014499999999999999,0.0040999999999999995,0,0.0053,0,0.0253,7.000000000000001e-4,0.0043,9e-4,0,0.0036,0.0036,9e-4,0.0045000000000000005,0,0.004699999999999999,0.0055000000000000005,2e-4,0.0078000000000000005,0.21760000000000002,0.0302
DO_PCR_R_bc004_PCR_F_bc019_R1.fastq.gz,0.0026,0,0,0,0.0026,0.0026,0.0146,0,0.0146,0,0,0,0,0,9e-4,9e-4,0.006,0.006,0.0069,0.0017000000000000001,0,0.0197,0.006,0,0,0.006,0.0077,9e-4,0,0,9e-4,0.0034000000000000002,0,0.0163,0.2847,9e-4,9e-4,0.0026,9e-4,9e-4,0,0,0.0051,0.0017000000000000001,0.0051,0.0017000000000000001,0.0069,9e-4,0,0.0077,9e-4,0.0034000000000000002,9e-4,0.006,0.0232,0.0069,0,0.0026,0,0.0197,0.0026,0.0026,0.0043,0,0.006,0.006,0.0043,0.0103,0,0.0086,0.0129,0,0.0137,0.3182,0.0334
DO_PCR_R_bc004_PCR_F_bc020_R1.fastq.gz,0.001,0,0,0,0.0017000000000000001,0.0017000000000000001,0.009399999999999999,0,0.009399999999999999,0,0,0,0,0,0,0,0.0042,0.0042,0.0042,0.001,7.000000000000001e-4,0.015,0.0042,3e-4,7.000000000000001e-4,0.0049,0.015700000000000002,3e-4,0,3e-4,7.000000000000001e-4,0.001,0,0.0111,0.264,3e-4,3e-4,0.0021,3e-4,0,7.000000000000001e-4,3e-4,0.0052,7.000000000000001e-4,0.0052,7.000000000000001e-4,0.0073,3e-4,0,0.0028000000000000004,3e-4,0.0014000000000000002,0.0017000000000000001,0.0063,0.016,0.0063,7.000000000000001e-4,0.0163,0,0.0167,0.0014000000000000002,0.0028000000000000004,0.0014000000000000002,0,0.0031,0.0031,0.0014000000000000002,0.0045000000000000005,0,0.0045000000000000005,0.0059,0,0.0181,0.2897,0.025699999999999997
DO_PCR_R_bc004_PCR_F_bc021_R1.fastq.gz,9e-4,0,0,0,0.0022,0.0022,0.0125,0,0.0125,0,0,0,0,0,4e-4,4e-4,0.0058,0.0058,0.0063,0.0013,4e-4,0.021,0.0049,0,0,0.0058,0.0049,4e-4,0,0,4e-4,0,4e-4,0.009399999999999999,0.20670000000000002,4e-4,4e-4,0.0018,0,0,4e-4,0,0.0045000000000000005,4e-4,0.0045000000000000005,4e-4,0.0072,4e-4,0,0.004,4e-4,0.0013,4e-4,0.0067,0.0179,0.0072,0,0.0022,0,0.0233,4e-4,0.0027,9e-4,0,0.0045000000000000005,0.0045000000000000005,9e-4,0.0054,0,0.0063,0.0072,4e-4,0.0067,0.26940000000000003,0.0626
DO_PCR_R_bc004_PCR_F_bc022_R1.fastq.gz,0.0016,0,0,0,0.0025,0.0027,0.0137,5e-4,0.0143,0,0,0,0,0,3e-4,3e-4,0.0055000000000000005,0.0055000000000000005,0.0058,0.0019,0,0.0203,0.0066,3e-4,3e-4,0.0058,0.0070999999999999995,8e-4,0,3e-4,8e-4,0.0019,5e-4,0.0148,0.2799,8e-4,0,8e-4,0,3e-4,0,0,0.0038,3e-4,0.0038,3e-4,0.0052,5e-4,3e-4,0.0052,5e-4,0.0022,0,0.0069,0.0203,0.0070999999999999995,0,0.0074,0,0.0332,3e-4,0.0052,0.0014000000000000002,0,0.0049,0.0049,0.0014000000000000002,0.0063,0,0.008199999999999999,0.0096,3e-4,0.013500000000000002,0.3169,0.0371
DO_PCR_R_bc005_PCR_F_bc001_R1.fastq.gz,0.0016,0.0032,0.0032,0.0032,0.0016,0.0048,0.020099999999999996,0,0.020099999999999996,0,0,0,0,0,0,0,0.004,0.004,0.004,8e-4,8e-4,0.0177,0.0032,0,0,0.004,0.0089,8e-4,0,0,0,0,8e-4,8e-4,0.1787,8e-4,0,0,0,0,0,0,0,0,0,0,0.0032,0,0.0016,0.005600000000000001,8e-4,0.0032,8e-4,0.004,0.0072,0.004,0,0.004,0,0.005600000000000001,0.0016,0,0.0016,0,0.0032,0.0032,0.0016,0.0048,8e-4,0.004,0.005600000000000001,8e-4,0.0097,0.2391,0.0604
DO_PCR_R_bc005_PCR_F_bc003_R1.fastq.gz,0,0,0,0,3e-4,3e-4,0.020499999999999997,0,0.020499999999999997,0,0,0,0,0,0,0,0.0031,0.0031,0.0034000000000000002,3e-4,0,0.0127,0.0031,0,0,0.0031,0.0084,9e-4,0,3e-4,3e-4,0.0012,0,0.0102,0.1869,3e-4,0,9e-4,3e-4,0,0,0,0.0022,0,0.0022,0,0.0028000000000000004,0,0,0.0028000000000000004,0,0,6e-4,0.0031,0.0146,0.0034000000000000002,0,0.0034000000000000002,0,0.046799999999999994,3e-4,0.005,6e-4,3e-4,0.0031,0.0034000000000000002,6e-4,0.004,3e-4,0.0043,0.005,0,0.008100000000000001,0.2359,0.049
DO_PCR_R_bc005_PCR_F_bc004_R1.fastq.gz,0,0.0031,0.0031,0.0031,0,0.0031,0.029500000000000002,0,0.029500000000000002,0,0,0,0,0,0,0,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005,0.0031,0.0016,0.031,0.004699999999999999,0,0,0.0078000000000000005,0.0155,0.0016,0,0,0,0,0,0.009300000000000001,0.19690000000000002,0.0016,0.0016,0.0016,0,0,0.0016,0,0.0031,0.0016,0.0031,0.0016,0.0078000000000000005,0.0016,0,0.0031,0,0,0.0016,0.0078000000000000005,0.013999999999999999,0.0078000000000000005,0,0.0031,0,0.0124,0.0016,0,0.0016,0,0.0062,0.0062,0.0016,0.0078000000000000005,0,0.0062,0.0078000000000000005,0,0.009300000000000001,0.22949999999999998,0.0326
DO_PCR_R_bc005_PCR_F_bc006_R1.fastq.gz,0.0034000000000000002,0,0,0,0.0049,0.0053,0.0113,8e-4,0.012,0,0,0,0,0,0.0011,0.0011,0.003,0.003,0.0034000000000000002,0.0023,0,0.0147,0.009399999999999999,0,0,0.0038,0.0068000000000000005,8e-4,0,4e-4,0.0015,0.0019,4e-4,0.0169,0.3539,0.0019,0,0.0023,4e-4,0,0,0,0.011699999999999999,0,0.011699999999999999,0,0.0147,4e-4,0.0011,0.0143,0.0019,0.0053,0,0.005600000000000001,0.0181,0.006,0,0.0437,0,0.0154,0.0087,0.0019,0.009000000000000001,0,0.0019,0.0019,0.009000000000000001,0.0109,4e-4,0.005600000000000001,0.0147,0.0015,0.0282,0.38549999999999995,0.0316
DO_PCR_R_bc005_PCR_F_bc007_R1.fastq.gz,0,6e-4,6e-4,6e-4,3e-4,0.001,0.015600000000000001,0,0.015600000000000001,0,0,3e-4,3e-4,3e-4,3e-4,3e-4,0.0038,0.0038,0.0040999999999999995,0.0013,0,0.0121,0.0025,0,0,0.0038,0.0038,6e-4,0,0,6e-4,6e-4,0,0.0051,0.17120000000000002,3e-4,3e-4,3e-4,0,0,6e-4,0,0.0019,3e-4,0.0019,3e-4,0.0034999999999999996,3e-4,0,0.0064,0,0,3e-4,0.0045000000000000005,0.0118,0.0048,0,0.0051,0,0.0194,6e-4,0.0022,6e-4,0,0.0038,0.0038,6e-4,0.0045000000000000005,0,0.0038,0.0045000000000000005,3e-4,0.0076,0.233,0.0617
DO_PCR_R_bc005_PCR_F_bc008_R1.fastq.gz,0.0012,0,0,0,0.002,0.0023,0.0143,9e-4,0.0151,0,0,0,0,0,6e-4,6e-4,0.0034999999999999996,0.0034999999999999996,0.0038,0.002,0,0.0175,0.0058,0,0,0.0034999999999999996,0.0055000000000000005,6e-4,0,3e-4,0.0012,0.0012,3e-4,0.0105,0.2922,9e-4,3e-4,0.0015,3e-4,3e-4,0,0,0.0073,6e-4,0.0073,6e-4,0.009000000000000001,3e-4,0,0.0079,3e-4,0.0015,0,0.004699999999999999,0.0154,0.0049,0,0.009899999999999999,0,0.0204,0.004699999999999999,0.0032,0.0055000000000000005,0,0.0029,0.0029,0.0055000000000000005,0.0084,0,0.0049,0.0105,3e-4,0.018000000000000002,0.3347,0.0425
DO_PCR_R_bc005_PCR_F_bc009_R1.fastq.gz,0,0,0,0,4e-4,4e-4,0.014199999999999999,2e-4,0.0144,0,0,0,0,0,0,0,0.0022,0.0022,0.0022,2e-4,0,0.0124,0.0027,0,0,0.0022,0.01,4e-4,0,2e-4,2e-4,9e-4,0,0.0053,0.1812,2e-4,0,9e-4,0,0,0,0,0.0033,0,0.0033,0,0.004,0,0,0.0024,2e-4,2e-4,9e-4,0.0027,0.008,0.0027,0,0.018799999999999997,0,0.0279,0.0011,0.002,0.0013,0,0.0022,0.0022,0.0013,0.0034999999999999996,0,0.0024,0.0038,0,0.008,0.2202,0.039
DO_PCR_R_bc005_PCR_F_bc010_R1.fastq.gz,0,0.004,0.004,0.004,0,0.004,0.019,0,0.019,0,0,0,0,0,3e-4,3e-4,0.003,0.003,0.0033,0.001,0,0.013000000000000001,0.003,0,0,0.003,0.009300000000000001,0,0,0,0,0,0,0.002,0.1323,3e-4,0,3e-4,0,0,0,0,0.001,0,0.001,0,0.0023,0,0,0.002,0,0,7.000000000000001e-4,0.003,0.0083,0.0033,0,0.0083,0,0.0177,3e-4,0.0023,3e-4,0,0.0027,0.0027,3e-4,0.003,0,0.0027,0.003,3e-4,0.004699999999999999,0.1877,0.0553
